AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,ObjectId
2151,POLICE OFFICER                     ,F,W ,40 - 49,47,6TH DIVISION                                           ,RESOURCE OFFICERS                                      ,23,1
2440,POLICE OFFICER                     ,M,W ,40 - 49,48,1ST DIVISION                                           ,DETECTIVES                                             ,19,2
2016,POLICE SERGEANT                    ,M,A ,40 - 49,49,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,23,3
2092,POLICE OFFICER                     ,M,W ,50 - 59,51,TRAINING                                               ,SPECIAL PROJECTS UNIT                                  ,23,4
2208,POLICE OFFICER                     ,M,W ,OVER 60,60,FORMER EMPLOYEE                                        ,,34,5
2209,POLICE OFFICER                     ,M,B ,50 - 59,56,FORMER EMPLOYEE                                        ,,34,6
2442,POLICE LIEUTENANT                  ,M,W ,40 - 49,43,CIS FORENSIC INVESTIGATIONS                            ,CSU STAFF                                              ,19,7
2042,POLICE OFFICER                     ,M,W ,OVER 60,60,4TH DIVISION                                           ,1ST PLATOON                                            ,23,8
2152,POLICE OFFICER                     ,M,W ,OVER 60,68,FORMER EMPLOYEE                                        ,,37,9
2285,POLICE OFFICER                     ,M,W ,50 - 59,53,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,25,10
2390,POLICE OFFICER                     ,M,W ,50 - 59,53,2ND DIVISION                                           ,2ND PLATOON                                            ,24,11
2093,POLICE OFFICER                     ,M,B ,50 - 59,52,6TH DIVISION                                           ,1ST PLATOON                                            ,25,12
2210,POLICE LIEUTENANT                  ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,34,13
2443,POLICE OFFICER                     ,M,W ,50 - 59,55,3RD DIVISION                                           ,1ST PLATOON                                            ,18,14
2153,POLICE OFFICER                     ,M,B ,OVER 60,70,FORMER EMPLOYEE                                        ,,37,15
2044,POLICE SERGEANT                    ,M,B ,40 - 49,45,8TH DIVISION                                           ,2ND PLATOON                                            ,23,16
2288,POLICE SERGEANT                    ,F,W ,OVER 60,62,TRAINING                                               ,SPECIAL PROJECTS UNIT                                  ,25,17
6029,POLICE SERGEANT                    ,M,W ,50 - 59,50,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,27,18
2094,POLICE OFFICER                     ,M,B ,40 - 49,48,NARCOTICS                                              ,SCRIPT TEAM                                            ,22,19
2444,ASST POLICE CHIEF-LT COLONEL       ,M,W ,50 - 59,52,PATROL BUREAU                                          ,STAFF                                                  ,21,20
2154,POLICE OFFICER                     ,M,B ,OVER 60,65,FORMER EMPLOYEE                                        ,,37,21
2045,POLICE MAJOR                       ,M,W ,50 - 59,51,9TH DIVISION                                           ,STAFF                                                  ,24,22
2211,POLICE OFFICER                     ,F,B ,OVER 60,63,FORMER EMPLOYEE                                        ,,34,23
6600,POLICE SERGEANT                    ,M,W ,40 - 49,49,SUPPORT UNIT                                           ,SCRIPT TEAM                                            ,22,24
2289,POLICE SERGEANT                    ,M,W ,50 - 59,51,8TH DIVISION                                           ,DETECTIVES                                             ,23,25
2095,POLICE OFFICER                     ,M,W ,40 - 49,42,5TH DIVISION                                           ,RESOURCE OFFICERS                                      ,17,26
2445,POLICE SERGEANT                    ,M,W ,50 - 59,54,PUBLIC INFORMATION OFFICE                              ,STAFF                                                  ,21,27
2155,POLICE LIEUTENANT                  ,F,W ,OVER 60,61,FORMER EMPLOYEE                                        ,,37,28
2046,POLICE OFFICER                     ,M,W ,50 - 59,53,5TH DIVISION                                           ,2ND PLATOON                                            ,24,29
2344,POLICE MAJOR                       ,M,W ,50 - 59,51,SPECIAL INVESTIGATIONS DIVISION                        ,STAFF                                                  ,23,30
2212,POLICE OFFICER                     ,F,B ,OVER 60,71,4TH DIVISION                                           ,2ND PLATOON                                            ,34,31
2290,POLICE SERGEANT                    ,M,W ,50 - 59,53,PROPERTY ROOM SECTION                                  ,STAFF                                                  ,25,32
2096,POLICE OFFICER                     ,M,B ,50 - 59,56,4TH DIVISION                                           ,STAFF                                                  ,20,33
2447,POLICE OFFICER                     ,M,W ,40 - 49,45,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,21,34
2291,POLICE OFFICER                     ,M,W ,50 - 59,51,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,23,35
2097,POLICE SERGEANT                    ,M,W ,40 - 49,47,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,17,36
2137,POLICE LIEUTENANT                  ,M,W ,OVER 60,63,MOUNTED PATROL                                         ,STAFF                                                  ,19,37
2213,POLICE OFFICER                     ,M,B ,OVER 60,71,TRAFFIC                                                ,2ND PLATOON                                            ,34,38
2156,POLICE OFFICER                     ,M,W ,OVER 60,64,FORMER EMPLOYEE                                        ,,37,39
2047,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,7TH DIVISION                                           ,STAFF                                                  ,23,40
2292,POLICE OFFICER                     ,M,W ,50 - 59,55,8TH DIVISION                                           ,1ST PLATOON                                            ,25,41
2098,POLICE OFFICER                     ,M,W ,40 - 49,48,3RD DIVISION                                           ,1ST PLATOON                                            ,17,42
2157,POLICE LIEUTENANT                  ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,37,43
2214,POLICE OFFICER                     ,M,W ,OVER 60,78,FORMER EMPLOYEE                                        ,,35,44
2159,POLICE LIEUTENANT                  ,F,W ,OVER 60,69,FORMER EMPLOYEE                                        ,,37,45
2448,POLICE OFFICER                     ,M,W ,OVER 60,71,FORMER EMPLOYEE                                        ,,122,46
2350,POLICE LIEUTENANT                  ,M,W ,40 - 49,46,8TH DIVISION                                           ,STAFF                                                  ,23,47
2099,POLICE CHIEF                       ,M,W ,OVER 60,66,CHIEF`S STAFF                                          ,STAFF                                                  ,42,48
2048,POLICE OFFICER                     ,M,W ,50 - 59,50,8TH DIVISION                                           ,2ND PLATOON                                            ,23,49
2215,POLICE MAJOR                       ,M,W ,50 - 59,59,SPECIAL OPERATIONS                                     ,STAFF                                                  ,34,50
2161,POLICE OFFICER                     ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,35,51
2449,POLICE OFFICER                     ,M,B ,OVER 60,64,FORMER EMPLOYEE                                        ,,23,52
2293,POLICE OFFICER                     ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,23,53
2100,POLICE OFFICER                     ,M,W ,40 - 49,42,5TH DIVISION                                           ,1ST PLATOON                                            ,19,54
2162,POLICE OFFICER                     ,M,B ,OVER 60,66,1ST DIVISION                                           ,STAFF                                                  ,35,55
2104,POLICE OFFICER                     ,F,W ,50 - 59,58,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,25,56
2049,POLICE OFFICER                     ,M,W ,50 - 59,51,CIS FORENSIC INVESTIGATIONS                            ,POLYGRAPH SQUAD                                        ,23,57
2450,POLICE LIEUTENANT                  ,M,W ,50 - 59,51,COMMUNITY EVENTS UNIT                                  ,STAFF                                                  ,19,58
2294,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,1ST DIVISION                                           ,STAFF                                                  ,23,59
2216,POLICE OFFICER                     ,M,B ,OVER 60,60,FORMER EMPLOYEE                                        ,,34,60
2101,POLICE OFFICER                     ,M,W ,OVER 60,70,FORMER EMPLOYEE                                        ,,122,61
2163,POLICE OFFICER                     ,F,W ,40 - 49,40,CIS HOMICIDE                                           ,SQUAD 1                                                ,18,62
2992,POLICE SERGEANT                    ,M,W ,50 - 59,59,6TH DIVISION                                           ,2ND PLATOON                                            ,26,63
2051,POLICE OFFICER                     ,M,W ,50 - 59,57,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,23,64
2451,POLICE SERGEANT                    ,M,W ,50 - 59,54,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,21,65
2295,POLICE SERGEANT                    ,M,W ,50 - 59,50,TRAFFIC                                                ,2ND PLATOON                                            ,23,66
2217,POLICE OFFICER                     ,M,B ,50 - 59,58,TRAFFIC                                                ,2ND PLATOON                                            ,34,67
2102,POLICE OFFICER                     ,M,W ,50 - 59,58,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,25,68
2103,POLICE SERGEANT                    ,M,H ,40 - 49,42,1ST DIVISION                                           ,2ND PLATOON                                            ,17,69
2105,POLICE OFFICER                     ,M,B ,OVER 60,67,FORMER EMPLOYEE                                        ,,42,70
2106,POLICE OFFICER                     ,M,W ,40 - 49,49,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,25,71
2107,POLICE OFFICER                     ,M,W ,50 - 59,57,FORMER EMPLOYEE                                        ,,17,72
2108,POLICE OFFICER                     ,M,W ,OVER 60,70,TRAFFIC                                                ,4TH PLATOON                                            ,42,73
2109,POLICE OFFICER                     ,M,W ,40 - 49,41,8TH DIVISION                                           ,1ST PLATOON                                            ,18,74
2110,POLICE OFFICER                     ,M,B ,50 - 59,50,PUBLIC INFORMATION OFFICE                              ,COMMUNITY ENGAGEMENT UNIT                              ,17,75
2111,POLICE LIEUTENANT                  ,M,W ,40 - 49,43,8TH DIVISION                                           ,STAFF                                                  ,20,76
2112,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,5TH DIVISION                                           ,STAFF                                                  ,20,77
2113,POLICE OFFICER                     ,F,W ,40 - 49,49,4TH DIVISION                                           ,DETECTIVES                                             ,25,78
2114,POLICE MAJOR                       ,M,W ,OVER 60,66,FORMER EMPLOYEE                                        ,,0,79
2115,POLICE MAJOR                       ,M,W ,OVER 60,68,FORMER EMPLOYEE                                        ,,42,80
2116,POLICE SERGEANT                    ,M,W ,40 - 49,43,CANINE UNIT                                            ,STAFF                                                  ,17,81
2117,POLICE OFFICER                     ,F,W ,50 - 59,52,5TH DIVISION                                           ,1ST PLATOON                                            ,25,82
2118,POLICE OFFICER                     ,M,W ,50 - 59,54,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,17,83
2120,POLICE OFFICER                     ,F,W ,50 - 59,52,FORMER EMPLOYEE                                        ,,25,84
2121,POLICE SERGEANT                    ,M,W ,50 - 59,55,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,24,85
2122,POLICE OFFICER                     ,M,W ,40 - 49,41,3RD DIVISION                                           ,DETECTIVES                                             ,17,86
2123,POLICE LIEUTENANT                  ,F,W ,OVER 60,72,FORMER EMPLOYEE                                        ,,42,87
2124,POLICE LIEUTENANT                  ,M,W ,OVER 60,72,FORMER EMPLOYEE                                        ,,122,88
2125,POLICE SERGEANT                    ,M,W ,50 - 59,50,SWAT UNIT                                              ,STAFF                                                  ,24,89
2126,POLICE OFFICER                     ,M,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,122,90
2127,POLICE OFFICER                     ,M,W ,OVER 60,70,5TH DIVISION                                           ,1ST PLATOON                                            ,25,91
2128,POLICE SERGEANT                    ,M,W ,50 - 59,52,1ST DIVISION                                           ,1ST PLATOON                                            ,17,92
2129,POLICE LIEUTENANT                  ,M,W ,40 - 49,43,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,17,93
2130,POLICE LIEUTENANT                  ,F,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,41,94
2131,POLICE LIEUTENANT                  ,M,W ,OVER 60,65,5TH DIVISION                                           ,STAFF                                                  ,42,95
2133,POLICE OFFICER                     ,M,B ,OVER 60,71,FORMER EMPLOYEE                                        ,,122,96
2134,POLICE SERGEANT                    ,M,W ,50 - 59,51,9TH DIVISION                                           ,STAFF                                                  ,25,97
2136,POLICE OFFICER                     ,F,W ,40 - 49,49,FORMER EMPLOYEE                                        ,,25,98
2139,POLICE SERGEANT                    ,F,W ,40 - 49,43,CIS HOMICIDE                                           ,SQUAD 4                                                ,17,99
2140,POLICE OFFICER                     ,M,W ,40 - 49,49,9TH DIVISION                                           ,FUGITIVE APPREHENSION SQUAD                            ,23,100
2141,POLICE OFFICER                     ,M,B ,OVER 60,64,FORMER EMPLOYEE                                        ,,39,101
2142,POLICE OFFICER                     ,M,B ,OVER 60,61,TRAFFIC                                                ,2ND PLATOON                                            ,21,102
2143,POLICE OFFICER                     ,M,W ,40 - 49,43,TRAINING                                               ,BASIC ACADEMY                                          ,17,103
2144,POLICE OFFICER                     ,M,W ,40 - 49,40,FORMER EMPLOYEE                                        ,,17,104
2146,POLICE OFFICER                     ,M,B ,OVER 60,62,FORMER EMPLOYEE                                        ,,37,105
2147,POLICE OFFICER                     ,F,B ,OVER 60,65,FORMER EMPLOYEE                                        ,,37,106
2148,POLICE OFFICER                     ,M,B ,OVER 60,73,2ND DIVISION                                           ,2ND PLATOON                                            ,37,107
2165,POLICE OFFICER                     ,M,W ,50 - 59,58,WELLNESS UNIT                                          ,STAFF                                                  ,14,108
2052,POLICE OFFICER                     ,F,W ,50 - 59,50,FORMER EMPLOYEE                                        ,,24,109
2637,POLICE LIEUTENANT                  ,M,W ,OVER 60,69,FORMER EMPLOYEE                                        ,,45,110
